id,mention weight
marcus gilmore,22
joel ross,65
immanuel wilkins,79
fabian almazan,21
harish raghavan,19
matt brewer,15
ben wendel,5
greg osby,4
aaron parks,11
lage lund,10
gilad hekselman,34
joe martin,21
mark turner,23
dayna stephens,4
steve lehman,3
ben van,4
ben street,3
will vinson,10
youngjoo song,4
vicente archer,2
shimrit shoshan,3
john hebert,2
melissa aldana,3
joseph lepore,2
jeremy dutton,13
micah thomas,7
jonathan barber,5
mark shim,3
victor gould,6
matt dwonzsyk,1
mathis picard,12
giveton gelin,13
corey wilcox,8
ruben fox,7
julian lee,6
fernando saci,4
marty jaffe,3
kyle poole,6
zoe obadia,1
jonathan michel,27
josh lawrence,3
melanie charles,1
alexander claffy,11
benny benack,5
aaron goldberg,3
willie jones,1
jure pukl,5
charles altura,3
justin brown,2
josh evans,5
davis whitfield,3
chris beck,2
or bareket,2
joel frahm,4
orrin evans,3
adam arruda,1
marquis hill,15
josh johnson,12
jeremiah hunt,6
justin thomas,3
russell hall,3
jeremy corren,4
benjamin tiberio,7
ulysses owens,4
christian sands,3
noam wiesenberg,10
ofri nehemya,4
philip dizack,10
donald edwards,2
ben wolfe,3
savannah harris,4
george burton,3
itai kriss,5
shai maestro,6
dan weisselberg,2
francesco ciniglio,1
daryl johns,8
kweku sumbry,2
david weiss,12
sam dillon,8
david bryant,6
orlando le,4
ej strickland,3
andy farber,7
bruce harris,6
james burton,4
isaiah thomson,3
aaron kimmel,1
adam faulk,7
khary shaheed,4
milton suggs,2
troy roberts,4
gregg august,2
toru dodo,3
anwar marshall,1
gadi lehavi,2
kush abadey,1
adam larson,16
linda oh,2
ari hoenig,2
joshua crumbly,4
rudy royston,1
logan richardson,8
matt stevens,4
eric harland,2
nils weinhold,5
raviv markovitz,2
bastian weinhold,1
id,mention weight
marcus gilmore,22
joel ross,65
immanuel wilkins,84
fabian almazan,21
harish raghavan,47
matt brewer,65
ben wendel,72
greg osby,4
aaron parks,20
lage lund,38
gilad hekselman,43
joe martin,21
mark turner,27
dayna stephens,29
steve lehman,3
ben van,12
ben street,3
will vinson,14
youngjoo song,4
vicente archer,2
shimrit shoshan,3
john hebert,2
melissa aldana,4
joseph lepore,2
jeremy dutton,12
micah thomas,11
jonathan barber,5
mark shim,12
victor gould,5
matt dwonzsyk,1
mathis picard,12
giveton gelin,13
corey wilcox,8
ruben fox,7
julian lee,6
fernando saci,4
marty jaffe,3
kyle poole,6
zoe obadia,1
jonathan michel,27
josh lawrence,3
melanie charles,1
alexander claffy,11
benny benack,5
aaron goldberg,3
willie jones,1
jure pukl,18
charles altura,7
justin brown,6
josh evans,5
davis whitfield,3
chris beck,2
or bareket,2
joel frahm,4
orrin evans,3
adam arruda,1
marquis hill,18
josh johnson,12
jeremiah hunt,6
justin thomas,3
russell hall,3
jeremy corren,4
benjamin tiberio,7
ulysses owens,4
christian sands,3
daryl johns,12
kweku sumbry,4
noam wiesenberg,10
ofri nehemya,4
philip dizack,13
eden ladin,10
donald edwards,8
ben wolfe,3
savannah harris,4
george burton,3
itai kriss,5
shai maestro,6
dan weisselberg,2
francesco ciniglio,1
david weiss,12
sam dillon,8
david bryant,6
orlando le,4
ej strickland,3
andy farber,7
bruce harris,6
james burton,4
isaiah thomson,3
aaron kimmel,1
adam faulk,7
khary shaheed,4
milton suggs,2
troy roberts,4
gregg august,2
toru dodo,3
anwar marshall,1
gadi lehavi,2
kush abadey,1
adam larson,16
linda oh,4
ari hoenig,2
joshua crumbly,4
rudy royston,2
logan richardson,39
matt stevens,8
eric harland,4
nils weinhold,5
raviv markovitz,2
bastian weinhold,1
sullivan fortner,15
damion reid,2
john escreet,5
kenny grohowski,1
john ellis,14
daniel dor,1
glenn zaleski,7
rodney green,14
jonathan saraga,6
remy le,14
chris pattishall,4
kenneth salters,3
jeff miles,2
taylor eigsti,11
obed calvaire,4
sam harris,19
mike moreno,3
tommy crane,5
alex lore,4
ziv ravitz,1
nir felder,4
tony tixier,3
jason brown,2
alex sipiagin,10
seamus blake,8
peter kronreif,1
david virelles,2
kevin hays,3
henry cole,2
mike rodriguez,17
gary versace,6
craig weinrib,6
patrick cornelius,4
samora pinderhughes,3
clarence penn,1
ben monder,4
matt nowak,3
johnathan blake,1
tyshawn sorey,4
guilhem flouzat,4
can olgun,2
desmond white,1
david smith,5
david cook,3
matt clohesy,6
ross pederson,1
sam yahel,10
bjorn solli,5
bill stewart,1
hans glawischnig,3
luis perdomo,3
dave robaire,4
gerald clayton,3
joe sanders,17
dan tepfer,3
jaleel shaw,3
colin stranahan,1
alan ferber,13
scott wendholt,8
jon gordon,15
douglas yates,5
nate radley,4
bryn roberts,3
mark ferber,2
anthony wilson,9
adam schroeder,6
shane endsley,5
donald vega,3
danton boller,2
