id,mention weight
joe sanders,23
tony hewitt,20
saul rubin,21
bernard linnette,18
francesco ciniglio,18
aaron parks,20
john ellis,24
eden ladin,23
rodney green,25
taylor eigsti,16
obed calvaire,20
ben van,3
mark turner,2
craig weinrib,3
colin stranahan,1
ben wendel,6
gerald clayton,6
henry cole,1
sam newsome,1
zaccai curtis,1
dorota piotrowska,1
theo hill,9
myron walden,6
dayna stephens,8
greg hutchinson,2
ron blake,1
lionel lueke,1
justin brown,6
luis perdomo,1
mark shim,1
jure pukl,2
leo genovese,1
emmet cohen,1
evan sherman,1
rick germanson,1
dezron douglas,4
steve williams,1
luke sellick,3
aaron seeber,2
miki yamanaka,6
kush abadey,2
chip crawford,1
emma dayhuff,1
jason brown,6
darrian douglas,4
jonathan michel,4
jimmy macbride,1
nick hempton,2
dan aran,2
ben wolfe,1
jon roche,3
ned goold,1
clifford barbaro,3
roman ivanoff,2
dave kikoski,4
alexander claffy,3
anthony pinciotti,1
lezlie harrison,8
ben paterson,6
brandon lewis,2
anwar marshall,3
zaid nasser,1
spike wilner,2
fabio morgera,1
christos rafalides,1
gregg august,1
ej strickland,2
josh evans,2
lummie spann,1
stacy dillard,3
frank lacy,1
sanah kadoura,1
greg glassman,1
joseph lepore,1
lorin cohen,1
jeremy bean,1
joe bussey,1
luca santaniello,1
sullivan fortner,1
ameen saleem,1
philip harper,17
jon beshay,15
victor gould,3
brandi disterheft,7
dan kaufman,6
devin starks,5
jeremy manasia,3
wayne escoffery,1
paul odeh,4
james austin,2
tal ronen,3
mark gross,2
danny nicholas,1
mamiko watanabe,1
tyler mitchell,1
pete malinverni,1
richie vitale,1
neal miner,1
philip dizack,1
itai kriss,1
immanuel wilkins,1
shai maestro,1
adam ofarrill,1
francesco geminiani,1
kasperi sarikoski,1
addison frei,1
simon willson,1
julius rodriguez,1
jason clotter,1
hillel salem,3
eitan gofman,2
dan chmielinski,2
alexander levin,1
michael bond,1
mike karn,1
tuomo uusitalo,5
dave baron,4
sam anning,1
steve whipple,2
or bareket,1
tivon pennicott,9
john chin,2
spencer murphy,5
michael king,1
michela marino,1
wayne tucker,1
alex wintz,1
will vinson,9
mike moreno,8
rick rosato,7
clarence penn,5
doug weiss,4
eric harland,7
remy le,1
matt brewer,6
peter kronreif,1
billy hart,1
ben street,1
mike rodriguez,4
jochen rueckert,5
ricardo grilli,2
joe martin,5
lage lund,2
tyshawn sorey,1
greg osby,1
marcus gilmore,1
greg tuohey,2
adam chilenski,2
darren beckett,2
samir zarif,1
camille thurman,1
zhenya strigalev,1
alex sipiagin,1
matt garrison,1
matt penman,1
bjorn solli,1
matt clohesy,6
bill stewart,1
kendrick scott,5
gilad hekselman,6
kevin hays,3
rudy royston,2
davy mooney,1
jon cowherd,1
brian blade,1
willy rodriguez,1
jason palmer,1
luques curtis,3
jonathan elbez,1
nate radley,4
gary wang,1
gary versace,6
will bernard,1
ben allison,1
allison miller,1
brian charette,1
pablo menares,1
anne mette,1
ryan keberle,5
david cook,1
david smith,2
ross pederson,1
klemens marktl,1
tim armacost,1
joseph doubleday,1
boris kozlov,1
alan ferber,2
jon gordon,2
charles pillow,1
bryn roberts,2
mark ferber,2
helen sung,2
ingrid jensen,1
reuben rogers,3
samuel torres,1
carolyn leonhart,1
christie dashiell,1
jean baylor,1
loren falls,1
vickie yang,1
fraser calhoun,1
alex goodman,1
ari hoenig,7
riley mulherkar,1
harish raghavan,6
daniel dor,1
scott wendholt,1
sean smith,1
russ meissner,1
emilio solla,1
alex norris,1
eric doob,1
dan pratt,1
rodolfo zanetti,1
pablo aslan,1
asaf yuria,2
ben meigners,2
george delancey,1
charles goold,1
antoine drye,1
gerald cannon,1
alvester garnett,1
dean torrey,1
aidan carroll,1
jaimeo brown,1
tom guarna,1
myles sloniker,1
carl moritz,1
noam wiesenberg,4
eden bareket,3
jonathan voltzok,1
darren barrett,3
tim gallagher,3
adam larson,1
yasushi nakamura,4
mark whitfield,2
joel frahm,1
orlando le,4
kyle poole,2
marko crncec,1
chris tordini,1
charles owens,1
omer avital,4
jovan alexandre,1
alex tremblay,1
harold mabern,1
david wong,7
lucas pino,1
adam birnbaum,1
clay lyons,1
greg skaff,1
rashaan carter,1
joe magnarelli,4
david hazeltine,1
anthony wonsey,1
glenn zaleski,1
melissa aldana,1
peter bernstein,1
hans glawischnig,1
chris potter,2
alan hampton,1
jeremy dutton,1
mark guiliana,1
larry grenadier,1
nate smith,1
julian lage,1
scott colley,1
antonio sanchez,1
ben williams,1
kiyoshi kitagawa,1
sachal vasandani,1
eric lewis,1
godwin louis,1
billy buss,1
alex brown,1
zach brown,1
eli degibri,7
aaron goldberg,6
jean michel,2
richard bona,1
rob jost,1
leonardo cioglia,1
romain collin,1
barak mori,1
brandon lee,1
seamus blake,1
randy ingram,1
